filename,model,similarity_llm_truth,similarity_ocr_truth,similarity_ocr_llm
Z05353396.txt,byT5-v3,0.4648,0.5233,0.7648
Z05353401.txt,byT5-v3,0.5457,0.5676,0.7597
Z05353422.txt,byT5-v3,0.5858,0.6506,0.7987
Z05353424.txt,byT5-v3,0.6961,0.739,0.82
Z05353668.txt,byT5-v3,0.592,0.6516,0.7484
Z05353673.txt,byT5-v3,0.5673,0.5747,0.7811
Z05353721.txt,byT5-v3,0.2632,0.303,0.7799
Z05353758.txt,byT5-v3,0.5955,0.6416,0.7963
Z05353778.txt,byT5-v3,0.6529,0.6934,0.7519
Z05353836.txt,byT5-v3,0.6642,0.6924,0.7863
Z05353396.txt,byT5-v2,0.4777,0.5233,0.7748
Z05353401.txt,byT5-v2,0.5419,0.5676,0.7753
Z05353422.txt,byT5-v2,0.5812,0.6506,0.808
Z05353424.txt,byT5-v2,0.7064,0.739,0.8428
Z05353668.txt,byT5-v2,0.5936,0.6516,0.7647
Z05353673.txt,byT5-v2,0.568,0.5747,0.7915
Z05353721.txt,byT5-v2,0.2679,0.303,0.7799
Z05353758.txt,byT5-v2,0.5984,0.6416,0.8071
Z05353778.txt,byT5-v2,0.6483,0.6934,0.7661
Z05353836.txt,byT5-v2,0.6789,0.6924,0.8042
Z05353396.txt,byT5-small,0.4937,0.5233,0.857
Z05353401.txt,byT5-small,0.5576,0.5676,0.8703
Z05353422.txt,byT5-small,0.6183,0.6506,0.8685
Z05353424.txt,byT5-small,0.7281,0.739,0.9055
Z05353668.txt,byT5-small,0.6185,0.6516,0.8544
Z05353673.txt,byT5-small,0.5668,0.5747,0.8613
Z05353721.txt,byT5-small,0.2654,0.303,0.763
Z05353758.txt,byT5-small,0.5961,0.6416,0.8493
Z05353778.txt,byT5-small,0.6737,0.6934,0.8746
Z05353836.txt,byT5-small,0.6783,0.6924,0.8907
Z05353396.txt,byT5-5k,0.4922,0.5233,0.8385
Z05353401.txt,byT5-5k,0.5659,0.5676,0.8558
Z05353422.txt,byT5-5k,0.6128,0.6506,0.8379
Z05353424.txt,byT5-5k,0.7106,0.739,0.8789
Z05353668.txt,byT5-5k,0.6068,0.6516,0.8377
Z05353673.txt,byT5-5k,0.5455,0.5747,0.8188
Z05353721.txt,byT5-5k,0.2714,0.303,0.681
Z05353758.txt,byT5-5k,0.5998,0.6416,0.8602
Z05353778.txt,byT5-5k,0.6553,0.6934,0.8532
Z05353836.txt,byT5-5k,0.6505,0.6924,0.8667
